n,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,run14,run15,run16,run17,run18,run19,run20,run21,run22,run23,run24,run25,run26,run27,run28,run29,run30,run31,run32,run33,run34,run35,run36,run37,run38,run39,run40,run41,run42,run43,run44,run45,run46,run47,run48,run49,run50
10000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,3,3
30000,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,3
40000,3,3,4,3,4,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50000,3,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,4,3,4,3,4,4,3,3,3,3
60000,3,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,4,3,4,4,3,3,4,3,3,3,3,4,4
70000,3,4,4,4,3,3,4,3,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,4,3,4,4,3,4,3,3,4,4,3,3,3,4,3,3,3,4,3,4,3,4,3
80000,3,3,3,3,3,4,4,3,4,3,3,4,4,4,3,3,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,4,4,3
90000,4,4,4,4,3,4,3,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,4,4,4,3,3,4,3,3,4,3,4,4,4,4,3,3,3,4,3,4,4,3,3,4,3,3,3
100000,4,3,3,4,4,3,4,4,3,3,3,4,4,3,3,3,3,4,3,4,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,4,3,3,4,3,4,3
